price,city,district,type,listing_type
630, Bratislava-Ružinov,Bratislava,1 izbový byt,rent
950,Bratislava-Devínska Nová Ves,Bratislava,3 izbový byt,rent
400000, Bratislava-Petržalka,Bratislava,3 izbový byt,sale
690, Bratislava-Lamač,Bratislava,2 izbový byt,rent
308000, Bratislava-Staré Mesto,Bratislava,2 izbový byt,sale
499000, Bratislava-Staré Mesto,Bratislava,4 izbový byt,sale
1090000, Limbach,Pezinok,Rodinný dom,sale
950, Bratislava-Staré Mesto,Bratislava,2 izbový byt,rent
235000, Bratislava-Staré Mesto,Bratislava,2 izbový byt,sale
529000, Slovenský Grob,Pezinok,Rodinný dom,sale
680, Bratislava-Staré Mesto,Bratislava,2 izbový byt,rent
201000, Bratislava-Rača,Bratislava,2 izbový byt,sale
950, Bratislava-Lamač,Bratislava,3 izbový byt,rent
680, Bratislava-Petržalka,Bratislava,2 izbový byt,rent
419990,Hubice,Dunajská,Rodinný dom,sale
850, Bratislava-Karlova Ves,Bratislava,3 izbový byt,rent
408277, Bratislava-Ružinov,Bratislava,4 izbový byt,sale
319162, Bratislava-Ružinov,Bratislava,3 izbový byt,sale
229000,Bali,,Rodinný dom,sale
239900,Borský Svätý Jur,Senica,Rodinný dom,sale
6, Bratislava-Staré Mesto,Bratislava,"Kancelárie, administratívne priestory",rent
519000, Chorvátsky Grob,Senec,Rodinný dom,sale
220000, Bratislava-Devínska Nová Ves,Bratislava,2 izbový byt,sale
299990, Bratislava-Nové Mesto,Bratislava,2 izbový byt,sale
849990,Banská Štiavnica,Banská,Rodinný dom,sale
299900,Donovaly,Banská,5 a viac izbový byt,sale
1590, Bratislava-Staré Mesto,Bratislava,4 izbový byt,rent
1950000, Bratislava-Staré Mesto,Bratislava,Pozemok pre občiansku vybavenosť,sale
520000, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
1950000, Bratislava-Staré Mesto,Bratislava,Administratívny objekt,sale
795000, Bratislava-Staré Mesto,Bratislava,Pozemok pre bytovú výstavbu,sale
690000,Donovaly,Banská,Rodinný dom,sale
399000, Bratislava-Staré Mesto,Bratislava,4 izbový byt,sale
379000, Dunajská Lužná,Senec,Pozemok pre rodinné domy,sale
905, Bratislava-Ružinov,Bratislava,3 izbový byt,rent
249990,Čadca,Čadca,Rodinný dom,sale
399000, Bratislava-Ružinov,Bratislava,Rodinný dom,sale
795000,Bratislava-Staré Mesto,Bratislava,Rodinný dom,sale
279000, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
1050, Bratislava-Staré Mesto,Bratislava,Obchodné priestory,rent
399000, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
297, Bratislava-Vajnory,Bratislava,"Kancelárie, administratívne priestory",rent
259900,Lehnice,Dunajská,Rodinný dom,sale
259900,Lehnice,Dunajská,Rodinný dom,sale
89000,Vojka nad Dunajom,Dunajská,Pozemok pre rodinné domy,sale
159900, Senec,Senec,2 izbový byt,sale
244900, Hviezdoslavov,Dunajská,Rodinný dom,sale
249900,Miloslavov,Senec,Rodinný dom,sale
219900,Bratislava-Ružinov,Bratislava,2 izbový byt,sale
9990, Bratislava-Dúbravka,Bratislava,Obchodné priestory,sale
329990, Bratislava-Ružinov,Bratislava,4 izbový byt,sale
599990, Bratislava-Staré Mesto,Bratislava,4 izbový byt,sale
799, Bratislava-Staré Mesto,Bratislava,2 izbový byt,rent
319990, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
235000, Nitra,Nitra,3 izbový byt,sale
265000, Prešov,Prešov,Rodinný dom,sale
243000, Žilina,Žilina,4 izbový byt,sale
70000, Žilina,Žilina,Záhradná chatka,sale
290000, Žilina,Žilina,4 izbový byt,sale
295000,Cífer,Trnava,Rodinný dom,sale
410000, Bratislava-Jarovce,Bratislava,Rodinný dom,sale
730000, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
1300000,Bratislava-Nové Mesto,Bratislava,Pozemok pre rodinné domy,sale
285000,Bratislava-Podunajské Biskupice,Bratislava,Pozemok pre rodinné domy,sale
319800, Bratislava-Podunajské Biskupice,Bratislava,Rodinný dom,sale
60000,Jablonové,Malacky,Pozemok pre rodinné domy,sale
60000,Jablonové,Malacky,Pozemok pre rodinné domy,sale
133500, Závadka nad Hronom,Brezno,"Chalupa, rekreačný domček",sale
199900, Bratislava-Ružinov,Bratislava,2 izbový byt,sale
159000, Levoča,Levoča,Rodinný dom,sale
885000, Bratislava-Karlova Ves,Bratislava,Rodinný dom,sale
470000, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
449000, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
580, Bratislava-Petržalka,Bratislava,Garsónka,rent
132000, Košice-Západ,Košice,1 izbový byt,sale
159000, Levoča,Levoča,Pozemok pre rodinné domy,sale
74250,Dolný Bar,Dunajská,Pozemok pre rodinné domy,sale
159640, Miloslavov,Senec,Pozemok pre rodinné domy,sale
45000,Dolný Bar,Dunajská,Pozemok pre rodinné domy,sale
279500, Nová Dedinka,Senec,Rodinný dom,sale
700, Bratislava-Petržalka,Bratislava,2 izbový byt,rent
1000, Bratislava-Staré Mesto,Bratislava,2 izbový byt,rent
650, Bratislava-Petržalka,Bratislava,1 izbový byt,rent
600, Bratislava-Petržalka,Bratislava,2 izbový byt,rent
600, Bratislava-Petržalka,Bratislava,2 izbový byt,rent
319000,Kostolište,Malacky,Rodinný dom,sale
600, Bratislava-Ružinov,Bratislava,2 izbový byt,rent
150000, Liptovský Mikuláš,Liptovský,2 izbový byt,sale
159990, Prievidza,Prievidza,3 izbový byt,sale
304990, Kvetoslavov,Dunajská,Rodinný dom,sale
259900, Bratislava-Ružinov,Bratislava,2 izbový byt,sale
197900, Bratislava-Rača,Bratislava,1 izbový byt,sale
410000, Dunajská Lužná,Senec,Rodinný dom,sale
350000, Bratislava-Staré Mesto,Bratislava,3 izbový byt,sale
195000, Bratislava-Petržalka,Bratislava,2 izbový byt,sale
385000, Miloslavov,Senec,Rodinný dom,sale
169900, Bratislava-Karlova Ves,Bratislava,1 izbový byt,sale
299990,Hviezdoslavov,Dunajská,Rodinný dom,sale
390000, Malinovo,Senec,Rodinný dom,sale
710, Bratislava-Ružinov,Bratislava,Obchodné priestory,rent
490000, Bratislava-Staré Mesto,Bratislava,4 izbový byt,sale
354000, Žilina,Žilina,3 izbový byt,sale
267510, Senec,Senec,4 izbový byt,sale
164000, Košice-Krásna,Košice,Pozemok pre rodinné domy,sale
310000, Kostolište,Malacky,Rodinný dom,sale
629000, Bratislava-Staré Mesto,Bratislava,4 izbový byt,sale
1200000, Bratislava-Ružinov,Bratislava,5 a viac izbový byt,sale
295000, Malacky,Malacky,Rodinný dom,sale
620, Hviezdoslavov,Dunajská,3 izbový byt,rent
1700, Bratislava-Nové Mesto,Bratislava,4 izbový byt,rent
309900, Horný Bar,Dunajská,Rodinný dom,sale
274990, Bratislava-Devínska Nová Ves,Bratislava,2 izbový byt,sale
320,Malacky,Malacky,Polyfunkčný objekt,rent
369900, Moravský Svätý Ján,Senica,Rodinný dom,sale
750, Bratislava-Dúbravka,Bratislava,2 izbový byt,rent
